activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,COc1c(O)cc2c(=O)c3ccccc3oc2c1OC,CHEMBL2029863,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,O=c1c2cc(O)ccc2oc2cccc(O)c12,CHEMBL389166,ug.mL-1,23.54,ug ml-1,23.54,Neuraminidase
,COc1c2c(cc3c(=O)c4ccccc4oc13)OCO2,CHEMBL2029862,ug.mL-1,100.0,ug ml-1,100.0,Neuraminidase
,O=c1c2ccccc2oc2cc(O)cc(O)c12,CHEMBL388525,ug.mL-1,23.29,ug ml-1,23.29,Neuraminidase
,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,CHEMBL361025,ug.mL-1,9.14,ug ml-1,9.14,Neuraminidase
,O=c1c2cccc(O)c2oc2cc(O)c(O)c(O)c12,CHEMBL2029866,ug.mL-1,10.8,ug ml-1,10.8,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,ug.mL-1,5.13,ug ml-1,5.13,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=O)Nc1ccc(C)cc1,CHEMBL2041284,nM,776700.0,uM,776.7,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=O)Nc1ccc(Cl)cc1,CHEMBL2041285,nM,1000000.0,uM,1000.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=O)Nc1ccc(F)cc1,CHEMBL2041286,nM,1000000.0,uM,1000.0,Neuraminidase
,COc1ccc(NC(=O)N[C@H]2C=C(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]2NC(C)=O)cc1,CHEMBL2041287,nM,848100.0,uM,848.1,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=O)NCc1ccco1,CHEMBL2041288,nM,6600.0,uM,6.6,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=O)NCc1ccccc1,CHEMBL2041289,nM,704700.0,uM,704.7,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=S)Nc1ccccc1,CHEMBL2041290,nM,1000000.0,uM,1000.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=S)Nc1ccc(C(F)(F)F)cc1,CHEMBL2041291,nM,893600.0,uM,893.6,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=S)Nc1cccc(C(F)(F)F)c1,CHEMBL2041292,nM,1000000.0,uM,1000.0,Neuraminidase
,COc1cccc(NC(=S)N[C@H]2C=C(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]2NC(C)=O)c1,CHEMBL2041293,nM,1000000.0,uM,1000.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=S)Nc1ccccc1F,CHEMBL2041294,nM,57100.0,uM,57.1,Neuraminidase
,COc1ccccc1NC(=S)N[C@H]1C=C(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]1NC(C)=O,CHEMBL2041295,nM,89600.0,uM,89.6,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=S)Nc1ccccc1Br,CHEMBL2041296,nM,1000000.0,uM,1000.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=S)Nc1cccc2ccccc12,CHEMBL2041297,nM,674400.0,uM,674.4,Neuraminidase
,CCNC(=S)N[C@H]1C=C(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]1NC(C)=O,CHEMBL2041298,nM,611600.0,uM,611.6,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=S)NCCCl,CHEMBL2041299,nM,100000.0,uM,100.0,Neuraminidase
,CCCCNC(=S)N[C@H]1C=C(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]1NC(C)=O,CHEMBL2041300,nM,64500.0,uM,64.5,Neuraminidase
